,City,Place
0,Aamby Valley City,19 Degree North
7,Abhaneri,Chand Baori (Step well)
716,Abhaneri,Harshat Mata Temple
834,Achooranam,Wayanad Tea Museum
865,Acharapakkam,Mazhai Malai Madha Shrine
866,Achrol,Moto Sport Park
882,Acharapakkam,Achirupakkam
883,Adilabad,Basar Saraswati Temple
1001,Adilabad,Kadam Dam
1010,Adilabad,Kawal Wildlife Sanctuary
1014,Adilabad,Fun Park
1015,Adilabad,Gudem Satyanarayana Swamy Temple
1017,Adilabad,Jainath Temple
1033,Adilabad,Kalwa Narsimha Swamy Temple
1036,Adilabad,Kuntala Waterfall
1046,Adilabad,Kadile Papahareshwar Temple
1113,Adilabad,Pochera Waterfalls
1131,Adimaly,Indian Spices & Herbal Garden
1142,Adilabad,Pranahita Wildlife Sanctuary
1156,Adilabad,Saptha Kund
1159,Adilabad,Sivaram Wildlife Sanctuary
1162,Adipur,Somaiya Kala Vidya
1179,Adilabad,Sathnala Dam
1184,Adipur,Sant Lilashah Kutiya
1189,Adipur,Gandhi Samadhi
1207,Adoni,Adoni Fort
1222,Adoor,Mannadi Devi Temple
1234,Adoor,Trichennamangalam Mahadevar Temple
1239,Agartala,Baramura Eco Park
1240,Agartala,Benu Ban Bihari Temple
1252,Agartala,Fourteen Goddess Temple
1262,Agartala,Benuban Vihar
1268,Agartala,Domboor Lake
1272,Agartala,Dumboor Lake
1286,Agartala,Chowda Devta Temple
1300,Agartala,Heritage Park
1302,Agartala,Gedu Miar Maszid
1325,Agartala,Gondacherra Wildlife Sanctuary
1342,Agartala,Gedumian Mosque
1349,Agartala,Jagannath Temple
1359,Agartala,Haveli Museum
1386,Agartala,"ISKCON, Math Chowmuhani"
1394,Agartala,Kalyan Sagar Lake
1400,Agartala,ISKCON Temple
1405,Agartala,Jampui Hill
1431,Agartala,Kalapania Nature Park
1436,Agartala,Kamaleswari Temple
1446,Agartala,Kalibari Temple
1454,Agartala,Kamala Sagar
1484,Agartala,Neermahal Palace
1504,Agartala,Kunjaban Palace
1538,Agartala,Malancha Niwas
1598,Agartala,Rudrasagar Lake
1623,Agartala,Ram Thakur's Ashram
1624,Agartala,Nehru Park
1633,Agartala,Ramkrishna Mission
1647,Agartala,Rose Valley Amusement Park
1657,Agartala,Ravindra Kanan
1675,Agartala,Sepahijala Wild Life Sanctuary
1707,Agartala,Sipahijala Wildlife Sanctuary
1750,Agartala,Tripura Government Museum
1817,Agartala,Sukanta Academy
1821,Agartala,Ujjayanta Palace
1869,Agartala,Trishna Wildlife Sanctuary
1917,Agartala,Tripura State Tribal Museum
1972,Agartala,Unakoti
2032,Agartala,Umamaheswar Temple
2056,Agartala,Ummaneshwar Temple
2065,Agatti,Island of Thinnakara
2084,Agatti,Lakshadweep Tour Package - Day Tours
2091,Agartala,Venuban Vihar Buddha Shrine
2121,Agonda,Agonda Beach
2154,Agatti,Lakshadweep Yathra Holidays
4026,Agonda,Animal Shelter Agonda
4046,Agonda,Aloha Surf India
4110,Agonda,Bio Veda Ayurvedic Beach Resort Spa
4135,Agonda,Fluidsymmetry
4146,Agonda,AUGUSTIN Studio & Gallery
4172,Agonda,Chapoli Dam
4182,Agonda,Galgibaga Beach
4351,Agonda,Krishna Ayurveda Massage Centre
4439,Agonda,Go Kayak
4462,Agonda,Om Ayurvedic Massage Center
4473,Agonda,Rock Formations
4514,Agonda,Partagal Matha Temple
4536,Agonda,Purnam Yoga Teacher Training in Goa
4538,Agra,Agra Art Gallery
4576,Agonda,PetraVeda
4609,Agonda,Saint Anna Taxi and Tours
4619,Agonda,Yoga Leela Agonda Rama Yoga Center
4653,Agra,Agra Fort
4723,Agra,Agra Fort Railway Station
13224,Agra,Anguri Bagh
13374,Agra,Chini Ka Rauza Mausoleum
13392,Agra,Army School
13404,Agra,Bageshwarnath Temple
13412,Agra,Balkeshwar Mandir
13429,Agra,Ashok Cosmos Mall
13434,Agra,Chhatri of Raja Jaswant Singh
13445,Agra,Bateshwar Temples
13473,Agra,Chini Ka Rauza
13475,Agra,Dayal Bagh
13526,Agra,CR Mall
13588,Agra,Dakhini Darwaza
13647,Agra,Diwan-i-Am Agra Fort
13713,Agra,Dhakri-Ka-Mahal
13795,Agra,Diwan E Aam
13831,Agra,Dolphin The Water World
13839,Agra,Gurudwara Guru ka Tal
13872,Tajganj,Dreams  tour
13886,Agra,Dr. B. R. Ambedkar University
13956,Agra,Jahangir Mahal
14016,Agra,Gyarah Sidi
14064,Agra,Jama Masjid
14124,Agra,Jain Muni Samadhi Stahl
14452,Agra,Jawab Masjid
14542,Agra,Jaswant ki Chatri
14620,Agra,Kalakriti Cultural & Convention Center
14682,Agra,Kailash Temple
14908,Agra,Keetham Lake
14929,Agra,Korai Village Agra
14945,Agra,Mariam's Tomb
14989,Agra,M.D College
15001,Agra,Mehtab Bagh
15011,Mohali,MD Tour And Travel
16141,Agra,Mother Teresa's Missionaries of Charity
16181,Agra,Mina Masjid
16307,Agra,Motilal Nehru Park
16318,Agra,Mughal Heritage Walk
16338,Agra,New Nice Marble Art & Handicrafts
16387,Agra,Nand Ram Ka Tila
16388,Agra,National Chambal Sanctuary NCS
16398,Agra,Old tampale is agra Rajewar madir
16400,Agra,Ram Bagh
16451,Agra,Paliwal Park
16458,Agra,Prithvinath Mandir
16461,Agra,Rawli Maharaj Temple
16462,Agra,Shah Burj
16492,Agra,Roman Catholic Cemetery
16501,Agra,Saket Mall
16513,Agra,Samadhi Swamiji Maharaj Bagh
16520,Agra,Sanjay Place
16582,Agra,Shahin Arts
16629,Agra,Sheesh Mahal
17049,Agra,Shri Mankameshwar Mandir
17081,Agra,Soami Bagh
17111,Agra,Spiritual Museum
17119,Agra,Shree Jagdamba Degree College
17132,Agra,St. George's Cathedral
17154,Agra,St. George's Church
17162,Agra,Sur Sarovar Bird Sanctuary
17176,Agra,Taj Mahal
40425,Agra,Taj Museum
40561,Agra,Tdi Mall
40570,Agra,Tomb of Itimad-ud-Daulah
42268,Agra,Tomb of Mariam Zamani
42314,Agra,Wildlife SOS
42374,Agra,Tomb Of John Russell Colvin
42398,Agra,Touseef International
42404,Agra,U.P Handicrafts Development Center
43854,Agumbe,Agumbe Ghat
43878,Agumbe,Agumbe Rainforest Research Station
43908,Etmadpur,Zoya Holidays
43936,Agumbe,Agumbe Sunset View Point
43950,Agumbe,Jogigundi Falls
43983,Agumbe,Barkana Falls
43989,Agumbe,Koodlu Theertha Falls
44001,Agumbe,Onake Abbi Falls
44016,Agumbe,Sunset Point
44075,Ahmedabad,Adalaj Step-well
44085,Ahmedabad,Acropolis Mall
44117,Ahmedabad,10 Acres Mall
45782,Ahmedabad,Ahmad Shah's Tomb
45792,Ahmedabad,Ahmedabad Haat
45813,Ahmedabad,Ahmedabad One Mall
45823,Ahmedabad,Aggarwal Mall
46218,Ahmedabad,Akshardham Temple
48067,Ahmedabad,Ambapur Step Well
48075,Ahmedabad,Amarnath Dham
48088,Ahmedabad,Amdavad ni Gufa
48205,Ahmedabad,Auto World Vintage Car Museum
48235,Ahmedabad,Apsara Theatre
48263,Ahmedabad,Archer Art Gallery
48279,Ahmedabad,Amritvarshini Vav
48800,Ahmedabad,Bai Harir Sultani Mosque
48801,Ahmedabad,Balvatika
48857,Ahmedabad,Bhadra Fort & Teen Darwaja
49020,Ahmedabad,Bhadra Fort
49084,Ahmedabad,Bhagwat Vidyapith
49096,Ahmedabad,Calico Museum of Textiles
